ZipCode,Count
10307.0,1739
11694.0,1736
11369.0,1720
10005.0,1704
11370.0,1672
10475.0,1647
11432.0,1593
11360.0,1582
10302.0,1557
10030.0,1552
11356.0,1549
11415.0,1529
11420.0,1514
10280.0,1476
10069.0,1387
10037.0,1289
11691.0,1270
11693.0,1264
11109.0,1248
11419.0,1217
11426.0,1210
10007.0,1193
11239.0,1159
11362.0,1140
11412.0,1052
11413.0,1039
11004.0,1031
10044.0,1016
11692.0,1015
11416.0,1001
11427.0,962
11366.0,893
11422.0,875
11433.0,863
11423.0,800
10282.0,782
10464.0,740
10004.0,719
10470.0,711
10006.0,673
11428.0,673
11411.0,626
11429.0,624
11363.0,611
11436.0,598
10474.0,434
11001.0,271
11697.0,271
11040.0,184
10162.0,82
10701.0,78
11003.0,68
10704.0,51
11580.0,41
10705.0,39
10185.0,33
11243.0,33
10150.0,32
11021.0,32
10710.0,30
10801.0,27
11550.0,27
11202.0,26
10163.0,25
11581.0,25
10703.0,25
11386.0,24
10940.0,22
10708.0,21
10550.0,21
11554.0,21
11590.0,21
11030.0,21
11050.0,20
11690.0,20
10020.0,19
11572.0,18
11096.0,18
10956.0,17
12550.0,17
11010.0,16
10583.0,16
11706.0,16
11756.0,15
7302.0,15
12601.0,14
10159.0,14
10541.0,14
11576.0,14
10901.0,14
11552.0,13
11570.0,13
11005.0,13
10101.0,13
10950.0,13
11518.0,12
11803.0,12
10805.0,12
11725.0,12
10573.0,12
10008.0,12
11561.0,12
10119.0,12
10918.0,12
10512.0,11
11020.0,11
11566.0,11
10933.0,11
7093.0,11
11977.0,11
10605.0,11
11757.0,11
11771.0,11
11501.0,10
11542.0,10
11510.0,10
11747.0,10
10129.0,10
11793.0,10
10803.0,10
10603.0,10
10552.0,10
11746.0,10
10108.0,10
11023.0,10
11968.0,9
11714.0,9
11758.0,9
11425.0,9
11710.0,9
12180.0,9
11376.0,9
10313.0,8
11755.0,8
10272.0,8
11431.0,8
11352.0,8
11772.0,8
7087.0,8
10116.0,8
11695.0,8
11520.0,8
10281.0,8
12590.0,8
11791.0,8
10992.0,8
10530.0,8
10562.0,8
11937.0,7
