STATE,ZipCode,Number of returns with total income,Total income amount,Avg total income,Count
NY,11553,14050,573493,40.81800712,7
NY,11554,19530,1472075,75.375064,21
NY,11557,4040,721773,178.6566832,2
NY,11558,3980,280501,70.47763819,2
NY,11559,3780,1203225,318.3134921,5
NY,11560,3400,1016393,298.9391176,1
NY,11561,18770,1677685,89.38119339,12
NY,11563,11420,915453,80.16225919,4
NY,11565,4730,449726,95.0794926,4
NY,11566,18060,2032823,112.5594131,11
NY,11570,14130,1924947,136.2312102,13
NY,11572,15680,1363411,86.95223214,18
NY,11575,8820,330339,37.45340136,7
NY,11576,6250,1612190,257.9504,14
NY,11577,5860,1028063,175.437372,1
NY,11579,2600,347794,133.7669231,3
NY,11580,21210,1319906,62.23036304,41
NY,11581,10670,873912,81.90365511,25
NY,11590,25050,1586197,63.32123752,21
NY,11596,5360,584153,108.9837687,5
NY,11598,5850,994216,169.951453,4
NY,11691,21710,821594,37.84403501,1270
NY,11692,8090,286523,35.41693449,1015
NY,11693,5380,253044,47.03420074,1264
NY,11694,8290,756415,91.24427021,1736
NY,11697,1870,169732,90.7657754,271
NY,11701,14610,767786,52.55208761,7
NY,11703,9080,565830,62.3160793,2
NY,11704,20410,1172612,57.45281725,2
NY,11706,31660,1678272,53.00922299,16
NY,11710,17760,1626406,91.57691441,9
NY,11713,5260,333366,63.37756654,4
NY,11714,12330,870021,70.56131387,9
NY,11716,5520,391442,70.9134058,1
NY,11717,31740,1090746,34.36502836,4
NY,11720,14420,981400,68.05825243,2
NY,11721,3230,460757,142.649226,1
NY,11722,18950,762130,40.21794195,3
NY,11725,14410,1438338,99.81526718,12
NY,11726,10790,484769,44.92761816,6
NY,11727,14320,873412,60.9924581,2
NY,11729,14550,860027,59.10838488,1
NY,11730,7270,652049,89.69037139,1
NY,11731,14910,1347398,90.36874581,4
NY,11732,1840,251181,136.511413,4
NY,11735,17140,1315893,76.77322054,7
NY,11738,8290,530129,63.94800965,7
NY,11741,14180,1038622,73.24555712,4
NY,11743,21860,3290563,150.528957,6
NY,11746,33360,3137308,94.0440048,10
NY,11747,10530,2291590,217.6248813,10
NY,11753,6440,1362641,211.5902174,5
NY,11754,9420,798834,84.80191083,1
NY,11755,6110,506785,82.94353519,8
NY,11756,22880,1552824,67.86818182,15
NY,11757,23370,1362020,58.28070175,11
NY,11758,28390,2530596,89.13687918,9
NY,11763,14530,871820,60.00137646,4
NY,11765,330,166345,504.0757576,1
NY,11768,10870,1479367,136.0963201,1
NY,11771,5150,1215570,236.0330097,11
NY,11772,22370,1275370,57.01251676,8
NY,11778,6080,424950,69.89309211,1
NY,11779,19170,1220032,63.64277517,2
NY,11780,7640,1374623,179.9244764,6
NY,11782,7990,727810,91.09011264,1
NY,11783,10930,965422,88.32772187,1
NY,11784,12050,700081,58.0980083,2
NY,11790,6710,728850,108.6214605,1
NY,11791,12090,2239814,185.2617039,8
NY,11793,16580,1513922,91.31013269,10
NY,11795,13000,1146899,88.223,3
NY,11797,4600,1052539,228.8128261,2
NY,11798,8150,328885,40.35398773,5
NY,11801,21170,1362208,64.34615021,4
NY,11803,14190,1662920,117.1895701,12
NY,11933,3450,237103,68.72550725,2
NY,11937,9010,972772,107.9658158,7
NY,11940,2750,253557,92.20254545,1
NY,11944,2300,143519,62.39956522,2
NY,11946,7390,462918,62.64113667,3
NY,11950,7680,360973,47.00169271,5
NY,11951,6250,287206,45.95296,1
NY,11952,2620,240497,91.79274809,1
NY,11953,6640,385491,58.05587349,1
NY,11955,1760,109882,62.43295455,1
NY,11957,460,57717,125.4717391,1
NY,11961,6870,407834,59.36448326,6
NY,11963,4140,492081,118.8601449,2
NY,11967,12480,671457,53.80264423,4
NY,11968,5320,612296,115.0932331,9
NY,11971,3100,281401,90.77451613,2
NY,11977,1300,127701,98.23153846,11
NY,11978,1940,223459,115.1850515,3
NY,12010,13180,607684,46.10652504,4
NY,12020,15890,1019593,64.1657017,1
NY,12051,1780,96679,54.31404494,1
NY,12083,1870,100781,53.89358289,1
NY,12084,2300,175111,76.13521739,1
